Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
-777862144;-777862144;Hors-service;;;;;48.079994, -1.734825;
-1605216048;-1605216048;En ligne;0056;56;1;Rennes;48.079992, -1.774162;354
864691568;864691568;En ligne;0156;156ex;0;Chavagne;48.105828, -1.683034;29
499679632;499679632;Hors-service;;;;;48.052958, -1.720034;
1461020384;1461020384;Haut-le-pied;0204;204;0;Dépôt;48.130878, -1.670108;
-1422710080;-1422710080;Hors-service;;;;;48.079839, -1.734192;
1047197536;1047197536;En ligne;0056;56;0;Chavagne;48.108783, -1.710889;174
2008538288;2008538288;Hors-service;;;;;48.0796, -1.733875;
2105868320;2105868320;Haut-le-pied;0218;218;1;Dépôt;48.112795, -1.783777;
1229703504;1229703504;Hors-service;;;;;48.079918, -1.735154;
-1556405136;-1556405136;Inconnu;0225;225;0;Pacé |  Chêne Amoureux;48.14544, -1.783947;
1096008448;1096008448;En ligne;0224;224;0;La Chapelle;48.168513, -1.735371;-574
1412209472;1412209472;Hors-service;;;;;48.080316, -1.734665;
-1373899168;-1373899168;Hors-service;;;;;48.079973, -1.734231;
426949584;426949584;En ligne;0072;72;1;Rennes;48.066536, -1.698153;16
1594715440;1594715440;Hors-service;;;;;48.079757, -1.735557;
-1191393200;-1191393200;Haut-le-pied;0236;236;1;Dépôt;48.107079, -1.757537;
791961520;791961520;Hors-service;;;;;48.099273, -1.633631;
1777221408;1777221408;Hors-service;;;;;48.080153, -1.734906;
61937648;61937648;En ligne;0080;80;0;Laillé;48.084454, -1.675113;132
1886997328;1886997328;Hors-service;;;;;48.099432, -1.632111;
-1787722016;-1787722016;Hors-service;;;;;48.079757, -1.735557;
609455552;609455552;En ligne;0080;80;1;Rennes;47.98594, -1.739964;61
-1677946096;-1677946096;Hors-service;;;;;48.099036, -1.633476;
-1240204112;-1240204112;En ligne;0056;56;0;Chavagne;48.056015, -1.789371;552
974467488;974467488;Haut-le-pied;0172;172ex;1;Dépôt;48.037249, -1.698993;
329619552;329619552;Hors-service;;;;;48.098877, -1.633394;
1923362352;1923362352;Hors-service;;;;;48.158809, -1.683384;
1521985392;1521985392;Hors-service;;;;;48.09984, -1.63251;
1242149392;1242149392;Hors-service;;;;;48.099561, -1.631355;
1643526352;1643526352;Hors-service;;;;;47.995034, -1.627153;
1704491360;1704491360;Hors-service;;;;;48.098955, -1.633468;
1972173264;1972173264;En ligne;0067;67;1;Cesson-Champelé;48.114041, -1.628048;57
1826032320;1826032320;En ligne;0223;223;1;Betton |  Chevaigné;48.165064, -1.645795;56
2069503296;2069503296;Hors-service;;;;;48.099118, -1.632756;
-1957782096;-1957782096;En ligne;0072;72;1;Rennes;47.999917, -1.696996;0
244443616;244443616;En ligne;0079;79;1;Rennes;48.082247, -1.674864;-201
-1130428192;-1130428192;Hors-service;;;;;48.099354, -1.632265;
-1775276128;-1775276128;En ligne;0072;72;1;Rennes;48.097406, -1.661766;333
-1860452064;-1860452064;Hors-service;;;;;48.099357, -1.631956;
-400404320;-400404320;Hors-service;;;;;48.0992, -1.63275;
-1714311120;-1714311120;En ligne;0221;221;1;Thorigné-Cesson;48.119036, -1.598345;0
