Geo Point;Geo Shape;gml_id;id_rva_fcd_avt_20230328;denomination;sens_circul;freeflowtime;type;id_troncon;length;thresholds
48.10717979337446, -1.6713113714218404;"{""coordinates"": [[[-1.670619999996399, 48.10695999999651], [-1.670749999998759, 48.10699000000326], [-1.670859999997058, 48.107020000002684], [-1.671450000000916, 48.10722999999909], [-1.671720000002402, 48.10732000000275], [-1.672000000006193, 48.10740999999616]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1116;1116;Rue Saint-Hélier;Dans les 2 sens;8;Rue;44685_G;114.430302042322;20_40
48.110330793397104, -1.6555797979020057;"{""coordinates"": [[[-1.655569999999297, 48.110299999996414], [-1.655589595804714, 48.110361586797794]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1125;1125;Boulevard de Strasbourg;Dans les 2 sens;2;Boulevard;44713_D;7.00173394121961;20_40
48.11177499999957, -1.6560549999997964;"{""coordinates"": [[[-1.656029999998289, 48.11170999999679], [-1.656080000001303, 48.111840000002346]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1127;1127;Boulevard de Strasbourg;Dans les 2 sens;1;Boulevard;44714_D;14.9268200556673;20_40
48.10987486670093, -1.6711950026608497;"{""coordinates"": [[[-1.671569999995081, 48.109879999999805], [-1.671329999997168, 48.10987999999874], [-1.671079999996731, 48.1098699999978], [-1.670959999994651, 48.10987000000063], [-1.670819999996836, 48.109869999995844]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1129;1129;Quai de Richemont;Dans le sens de numérisation;4;Quai;44727;55.8832440151629;20_40
48.116299999998034, -1.7137450000031342;"{""coordinates"": [[[-1.71388, 48.116299999996514], [-1.713610000006208, 48.116299999999555]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1135;1135;Rue de Vezin;Dans les 2 sens;1;Rue;44854_G;20.1035179265628;20_40
48.11913836141327, -1.7186634293312042;"{""coordinates"": [[[-1.719078753007238, 48.11927445084165], [-1.718919999997305, 48.11922999999655], [-1.718670000006408, 48.119159999997684], [-1.718550000002821, 48.119100000002526], [-1.718429999996157, 48.11905], [-1.718259999997049, 48.118970000003195]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1139;1139;Porte de Brest;Dans le sens de numérisation;10;Porte;44873;70.130459029146;20_40
48.11923814308905, -1.719187351098359;"{""coordinates"": [[[-1.719309999997554, 48.11881999999822], [-1.719230000000992, 48.119080000001695], [-1.719170000003264, 48.119300000001424], [-1.719130000002857, 48.11940999999847], [-1.719080000000612, 48.11965999999605]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1140;1140;Porte de Brest;Dans le sens de numérisation;7;Porte;44874;95.0190674665131;20_40
48.12251752431799, -1.7185971765209844;"{""coordinates"": [[[-1.71902999999888, 48.120669999996345], [-1.71917000000113, 48.121120000001014], [-1.719239999996069, 48.121420000004534], [-1.719250000002291, 48.12168999999663], [-1.719189999995451, 48.12193999999575], [-1.719089999998885, 48.12216999999732], [-1.718890000000675, 48.12248999999907], [-1.718729999995845, 48.12268999999923], [-1.71865000000052, 48.12278999999704], [-1.718480000003912, 48.123000000001014], [-1.718280000005156, 48.123199999996444], [-1.718060000003496, 48.123399999995996], [-1.71782, 48.1236299999997], [-1.717569999996511, 48.12384999999745], [-1.717310000006976, 48.124070000004146]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1150;1150;Porte de Brest;Dans le sens de numérisation;27;Porte;44900;420.179203533762;20_40
48.105319033623495, -1.717037415189057;"{""coordinates"": [[[-1.717109999994554, 48.105600000000585], [-1.717090000004839, 48.10553000000038], [-1.717020000005293, 48.10524999999813], [-1.717, 48.10516999999908], [-1.716966879626743, 48.10503751850538]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1155;1155;Route nationale 136;Dans le sens de numérisation;5;Route nationale;44920;63.4472325441354;20_40
48.12782819636224, -1.6502969915870027;"{""coordinates"": [[[-1.651480000004155, 48.12747999999753], [-1.651260000002407, 48.12758999999786], [-1.651159999995462, 48.127630000002924], [-1.650940000001346, 48.12768999999561], [-1.650750000006835, 48.12774000000313], [-1.650550000006317, 48.12777999999838], [-1.65045999999972, 48.12783999999755], [-1.649850000003971, 48.12794000000112], [-1.649080000005488, 48.12806000000361]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1168;1168;Rue de Fougères;Dans les 2 sens;14;Rue;45012_D;192.588574326089;20_40
