Geo Point;Geo Shape;gml_id;id;id_evt;commune;quartier;localisation;commentaire;date_deb;date_fin;type;interlocuteur;libelle;niv_perturbation;date_maj
48.03937029961668, -1.5439971792729446;"{""coordinates"": [[[-1.546176667303264, 48.038782753779785], [-1.544289644077359, 48.039285420805754], [-1.542406532849206, 48.039832950236786], [-1.54180405146173, 48.039856781596086]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a2d;100;74899;35204 - Nouvoitou;;à l'intersection de la Rue du Teillac et de la Place des Droits de l'Homme;Circulation interdite;2025-05-12T02:00:00+02:00;2025-06-27T02:00:00+02:00;Circulation interdite;;sur voirie;Circulation difficile;2025-04-30T20:18:35+02:00
47.97897075855346, -1.7216701984285367;"{""coordinates"": [[[-1.720269200446325, 47.97865355496207], [-1.720646375069825, 47.9787422227843], [-1.721013498207368, 47.9789045198413], [-1.722646365923962, 47.97919492489939], [-1.721823534063388, 47.97904858059281], [-1.721789179886424, 47.978534662224995]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a21;7;70863;35139 - Laillé;;Rue de l'Hôtel de Ville;Circulation interdite;2024-07-01T02:00:00+02:00;2025-06-30T02:00:00+02:00;Circulation interdite;;de réfection de chaussée;Circulation difficile;2024-07-05T20:15:56+02:00
48.14734997066366, -1.7696546188668594;"{""coordinates"": [[[-1.770079444534069, 48.14680761363198], [-1.76976090274217, 48.14709397569302], [-1.769591818669507, 48.14722207489698], [-1.769439798309826, 48.1473072258502], [-1.769058966316585, 48.14751168651091]], [[-1.769841141789903, 48.147960806457945], [-1.769867443162854, 48.147835810244054], [-1.769856277015294, 48.14771518332158], [-1.76977336662112, 48.147546841847806], [-1.769652433031097, 48.14742231720705], [-1.769533317627902, 48.14731742938405]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a1a;34;72472;35210 - Pacé;;Boulevard Patrice Dumaine de la Josserie, du Boulevard Patrice Dumaine de la Josserie jusqu'au Boulevard Patrice Dumaine de la Josserie,à l'intersection du Boulevard Patrice Dumaine de la Josserie et du Boulevard du Duc Jean V, Rue Michel Gérard, Rue du Père Grignon de Montfort;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2024-10-28T01:00:00+01:00;2025-07-31T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur voirie;Circulation difficile;2024-11-12T19:14:43+01:00
48.0792970247722, -1.690557303137943;"{""coordinates"": [[[-1.690499244384223, 48.079952684639565], [-1.690615361891663, 48.07864136490483]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a17;325;75405;35206 - Noyal-Châtillon-sur-Seiche;;Rue d'Angleterre et sous le boviduc;Circulation interdite;2025-06-16T02:00:00+02:00;2025-07-04T02:00:00+02:00;Circulation interdite;;;Circulation difficile;2025-06-04T20:20:42+02:00
48.1317215779693, -1.6933531302423457;"{""coordinates"": [[[-1.691907540003285, 48.13167284703255], [-1.691921107013306, 48.13170667898704], [-1.691964959990401, 48.13175481280147], [-1.692139873609054, 48.13184490363571], [-1.692987027002162, 48.13173990076522]], [[-1.69311911784637, 48.13216022574149], [-1.693113637719786, 48.13215830650419], [-1.693033300238159, 48.13186064554132]], [[-1.69411832359225, 48.131723565092926], [-1.694817518515872, 48.131635223910784]], [[-1.694094696273322, 48.13159156829265], [-1.69478773811044, 48.1315017055281]], [[-1.693652420087328, 48.13234699592424], [-1.69311911784637, 48.13216022574149]], [[-1.69411832359225, 48.131723565092926], [-1.694094696273322, 48.13159156829265]], [[-1.691874760755872, 48.13159110544958], [-1.691907540003285, 48.13167284703255]], [[-1.694817518515872, 48.131635223910784], [-1.694926554109322, 48.131621447184024]], [[-1.694094696273322, 48.13159156829265], [-1.694091898688875, 48.131560847421255], [-1.694387997969896, 48.13081094058338]], [[-1.692987027002162, 48.13173990076522], [-1.694094696273322, 48.13159156829265]], [[-1.693033300238159, 48.13186064554132], [-1.692987027002162, 48.13173990076522]], [[-1.691335525501974, 48.132380598982934], [-1.69146526689176, 48.13230051784248], [-1.691602419918757, 48.13221905294586], [-1.691743193444038, 48.13213744019415]], [[-1.694231181489816, 48.13208336614454], [-1.694193962617407, 48.13199123464192], [-1.694154662583054, 48.13186137864697], [-1.69411832359225, 48.131723565092926]], [[-1.69478773811044, 48.1315017055281], [-1.694846809175219, 48.131494045917776], [-1.694923115884676, 48.13152332712834]], [[-1.691968827548396, 48.13191061095024], [-1.691907540003285, 48.13167284703255]], [[-1.692062552970667, 48.131976908600116], [-1.692147087834172, 48.13197126979072], [-1.693033300238159, 48.13186064554132]], [[-1.692987027002162, 48.13173990076522], [-1.692981617279774, 48.131666997810186], [-1.693042701973134, 48.13150264610771], [-1.693285654886623, 48.1308768424785]], [[-1.693033300238159, 48.13186064554132], [-1.69411832359225, 48.131723565092926]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a15;317;75508;35238 - Rennes;4 - Saint Martin;Rue Gabriel Germain entre le giratoire de la Rue Jacques Léonard et le giratoire de la Rue de Saint Malo et seulement dans le sens Ouest-Est;Circulation interdite;2025-06-16T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation interdite;;;Circulation difficile;2025-06-10T20:20:06+02:00
48.1199855029933, -1.7121560459737821;"{""coordinates"": [[[-1.712146847576036, 48.12013794009887], [-1.712165244371529, 48.11983306588774]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a12;17;71070;35238 - Rennes;10 - Villejean / Beauregard;du 4 au 5 Placis de l'Orléanais au niveau des stationnements situés à l'Est;Rétrécissement temporaire de largeur de voie;2024-08-26T02:00:00+02:00;2025-08-30T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;de réfection des réseaux de chauffage des bâtiments de Aiguillon Construction;Impact limité;2024-07-18T20:15:28+02:00
48.123679354215376, -1.652003716380677;"{""coordinates"": [[[-1.652549629568303, 48.1237738975736], [-1.651635399241938, 48.123609523285715], [-1.651455767726983, 48.12362168707805]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a0e;26;72120;35238 - Rennes;6 - Jeanne d'Arc / Longs Champs / Beaulieu;Rue Bourde de la Rogerie, du 6 jusqu'au Boulevard de Vitré;Circulation interdite;2024-10-17T02:00:00+02:00;2025-10-18T02:00:00+02:00;Circulation interdite;;d'installation de chantier;Impact limité;2024-10-17T20:14:14+02:00
48.14882382616677, -1.7698874406618423;"{""coordinates"": [[[-1.771001435646042, 48.14657242694217], [-1.770959043311609, 48.1466272693068], [-1.770879719367669, 48.14675910721904], [-1.770745580639941, 48.147152799610815], [-1.770671731580109, 48.1473472923477], [-1.77065940121533, 48.14744088446753], [-1.770707710493241, 48.14750913111849]], [[-1.770280147683797, 48.147454852640394], [-1.769927398558025, 48.14740949694192], [-1.769722696839099, 48.147395593462136], [-1.769668581062855, 48.147391917815064], [-1.769621546259459, 48.14740918342059]], [[-1.769325057728995, 48.14981100650854], [-1.769076933796003, 48.14985512844957]], [[-1.769888908185277, 48.147651814944375], [-1.769909500701647, 48.14770186629021], [-1.769923120231088, 48.14775951940995], [-1.769919616921411, 48.147840984747], [-1.76993186155184, 48.14789869486444], [-1.769931912318668, 48.14794397382317], [-1.769913034878348, 48.14803455527945], [-1.769825978903093, 48.14838349754442], [-1.769832017195613, 48.14840510241476], [-1.769847908888172, 48.14841830485322], [-1.769905112083205, 48.14843037231634], [-1.769880357935355, 48.14848705973296], [-1.769864767120293, 48.14852399200075], [-1.769809755152431, 48.14852627253723], [-1.769778378621807, 48.14853034603565], [-1.769750348479077, 48.1485407491378], [-1.769730047896187, 48.14856007203059], [-1.769685632575064, 48.148620910426594], [-1.769608891720948, 48.14876112603691], [-1.769603362666782, 48.14877705567722], [-1.76957555901746, 48.148857161003626], [-1.769506176679551, 48.14923652867269], [-1.769423848514187, 48.14961290040051], [-1.76940619199766, 48.14971228019504], [-1.769420776555891, 48.149750768603184], [-1.769434744265805, 48.14978762629665], [-1.769484258408308, 48.14983219399961], [-1.769555203087001, 48.149868809372414], [-1.769929953961169, 48.14999454804518], [-1.770070150834221, 48.15004948331133], [-1.770302445999397, 48.150152870485854], [-1.770679937075959, 48.15030816039262], [-1.770696935571383, 48.150325948679615]], [[-1.769493718892432, 48.147293251117276], [-1.769621546259459, 48.14740918342059], [-1.7696754701766, 48.147458089213586], [-1.769824599288842, 48.14767596036447], [-1.769854459194897, 48.14782541455863], [-1.76982709540039, 48.14802286900169], [-1.769694202867647, 48.14845020581121], [-1.769525468564339, 48.14879888038155], [-1.769359677627136, 48.14953540364586], [-1.769305218591957, 48.149739083988045], [-1.769325057728995, 48.14981100650854], [-1.769421008267137, 48.14988638670553], [-1.769628166550112, 48.14995274872833], [-1.769965557193477, 48.150073230615476], [-1.770682785071673, 48.15036172554851], [-1.770744362796115, 48.150386966115875]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a0c;33;72466;35210 - Pacé;;Boulevard Patrice Dumaine de la Josserie, de l'Avenue Auguste Brizeux jusqu'au Boulevard du Duc Jean V, Boulevard du Duc Jean V;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2024-10-28T01:00:00+01:00;2025-07-31T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur voirie;Impact limité;2024-11-12T19:14:43+01:00
48.11517792081648, -1.7728540868539513;"{""coordinates"": [[[-1.773050775081252, 48.115008257113026], [-1.772847007287443, 48.115179421714174], [-1.772662145909805, 48.11535293003882]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a0a;35;72326;35240 - le Rheu, 35353 - Vezin-le-Coquet;;le Pont de Verrière,à l'intersection de la Route de Vezin et de la Route départementale 68;Circulation interdite;2024-10-29T01:00:00+01:00;2026-06-30T02:00:00+02:00;Circulation interdite;;;Impact limité;2024-10-31T19:14:31+01:00
48.101893482713066, -1.6775980689491916;"{""coordinates"": [[[-1.678570318293718, 48.101640895713125], [-1.678591666454645, 48.10176797982388], [-1.676485212781493, 48.10204192253365]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a06;41;72781;35238 - Rennes;8 - Sud gare;Rue Louis Blériot;Mise en impasse;2024-12-04T01:00:00+01:00;2027-05-31T02:00:00+02:00;Mise en impasse;;;Impact limité;2024-12-03T19:15:26+01:00
