Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0202;2002-01-01;;Oui;202;Chevaigné (Pommiers) <> Betton <>  Saint-Grégoire <> Rennes (Assomption);Complémentaire;0202-A-4604-1007;0202-B-1614-4603;202;#009fe3;#ffffff;Grand public;
0208;2002-01-01;;Oui;208;Saint-Grégoire (MFR Rabinardières) <> Rennes (Gares);Complémentaire;0208-A-2840-1194;0208-B-1186-2840;208;#f39200;#ffffff;Grand public;
0213;2002-01-01;;Oui;213;Rennes (Coubertin) <> Orgères <> Bourgbarré (Sept Fours);Complémentaire;0213-A-1668-3801;0213-B-3811-1450;213;#94c11f;#ffffff;Grand public;
0214;2002-01-01;;Oui;214;Cesson-Sévigné (Lycée Ozanam) <> Rennes (La Poterie);Complémentaire;0214-A-2052-1065-2057;0214-B-1077-2052;214;#94c11f;#ffffff;Grand public;
0221;2002-01-01;;Oui;221;Cesson-Sévigné (Château de Vaux) <> Thorigné-Fouillard <> Cesson-Sévigné (Lycée Sévigné);Complémentaire;0221-A-2115-2091;0221-B-2091-2114;221;#f39200;#ffffff;Grand public;
0231;2002-01-01;;Oui;231;Bruz (Brossolette) <> Pont-Péan <> Laillé (Gingouillère);Complémentaire;0231-A-2367-9236-2366;0231-B-9237-2367;231;#e5006d;#ffffff;Grand public;
0236;2002-01-01;;Oui;236;Pacé (Centre scolaire Pacé) <> Parthenay-de-Bretagne <> Clayes (Clayes Centre);Complémentaire;0236-A-3162-4453-3617;0236-B-4451-3162;236;#f29fc5;#1a171b;Grand public;
0245;2024-09-02;;Oui;245;Rennes (Foyer Rennais) <> Bruz (Bruz Centre);Complémentaire;0245-A-1276-2361;0245-B-2361-1276;245;#005bab;#ffffff;Grand public;
0407;2022-09-01;;Oui;Ts7;Bourgbarré (Jardin du Soleil) <> Bruz (Anita Conti);Transport scolaire;0407-A-3836-2367;0407-B-2365-3837;9999;#4465ad;#ffffff;Grand public;
0408;2018-09-03;;Oui;Ts8;Bruz (Brossolette) <> Mordelles (Mordelles Pâtis);Transport scolaire;0408-A-2366-3869;0408-B-3869-2366;9999;#e30613;#ffffff;Grand public;
0409;2002-01-01;;Oui;Ts9;Bruz (Aire du 8 Mai) <> Laillé (Couais);Transport scolaire;0409-A-2367-4758;0409-B-4759-2367;9999;#13a0db;#ffffff;Grand public;
0430;2024-09-02;;Oui;Ts30;Le Rheu (Egalité) <> Mordelles (Collège St-Yves);Transport scolaire;0430-A-2542-3881;0430-B-3881-2541;;#00893e;#ffffff;Grand public;
0445;2016-09-01;;Oui;Ts45;Gévezé (Huchetais) <> Pacé (Centre scolaire Pacé);Transport scolaire;0445-A-4520-3162;0445-B-3162-4521;9999;#e30613;#ffffff;Grand public;
0801;2024-11-25;;Oui;a relais;Rennes (Villejean-Université) <> Rennes (La Poterie);Spéciale;0801-A-1497-1065;0801-B-1065-1497;248;#ffff00;#1a171b;Grand public;
0807;2002-01-01;;Oui;E2;Transmusicales : Saint-Jacques-de-la Lande (Parc Expo) < > Communes;Evènementiel;;;;#000000;#ffffff;Grand public;
0814;2002-01-01;;Oui;E6;Feu d'artifice : Rennes (Armorique) < > Rennes (République);Evènementiel;;;;#000000;#ffffff;Grand public;
0034;2022-10-24;;Oui;34;Rennes (ZA Saint-Sulpice) <> Cesson-Sévigné <> Chantepie (Rosa Parks);Inter-quartiers;0034-A-1631-3028;0034-B-3028-1631;34;#f39200;#1a171b;Grand public;
0055;2002-01-01;;Oui;55;Rennes (Charles de Gaulle) <> Mordelles <> Le Verger (Le Verger Eglise);Métropolitaine;0055-A-1567-4408;0055-B-4401-1567;55;#f39200;#1a171b;Grand public;
0056;2002-01-01;;Oui;56;Rennes (Charles de Gaulle) <> Chavagne (Croix Blanche);Métropolitaine;0056-A-1567-4201;0056-B-4201-1567;56;#00893e;#ffffff;Grand public;
0078;2022-10-24;2025-08-31;Oui;78;Betton (La Haute Plesse) <> Saint-Grégoire <>  Rennes (Villejean-Université);Métropolitaine;0078-A-2461-1494;0078-B-1494-2461;78;#e4003a;#ffffff;Grand public;
0090;2018-09-03;;Oui;90;Bruz (Lavoisier) <> Bruz (DGA-MI);Intercommunale;0090-A-2338-2368;0090-B-2379-2337;90;#008bd2;#ffffff;Grand public;
0124;2022-10-24;;Oui;N4;Cesson-Sévigné (Atalante) <> Rennes (République);STAR de Nuit;0124-A-2045-1052;0124-B-1168-2045;124;#6f2282;#ffffff;Grand public;
0152;2019-09-02;;Oui;152ex;Rennes (Villejean-Université) <> Saint-Gilles (Ile des Bois);Express;0152-A-1497-3732;0152-B-3732-1497;152;#ffdd00;#3d3c3f;Grand public;
0165;2019-09-02;;Oui;165ex;Rennes (Villejean-Université) <> Parthenay-de-Bretagne (Parthenay Fontaine);Express;0165-A-1565-3617;0165-B-3617-1519;165;#ffdd00;#3d3c3f;Grand public;
0201;2002-01-01;;Oui;201;Thorigné-Fouillard (Landelles) <> Rennes (Assomption);Complémentaire;0201-A-3301-1007;0201-B-1614-3301-1710-1429;201;#e30613;#ffffff;Grand public;
0204;2002-01-01;;Oui;204;Saint-Grégoire (Champ Daguet) <> Rennes (Assomption);Complémentaire;0204-A-2844-1007;0204-B-1614-2844;204;#94c11f;#ffffff;Grand public;
0216;2022-10-24;;Oui;216;Cesson-Sévigné (Dézerseul) <> Rennes (Assomption);Complémentaire;0216-A-2149-1007;0216-B-1033-2148;216;#f29fc5;#1a171b;Grand public;
0227;2002-01-01;2025-08-31;Oui;227;Saint-Gilles (Ile des Bois) <> Vezin-le-Coquet <> Pacé (Centre scolaire Pacé);Complémentaire;0227-A-3162-3732;0227-B-3754-3162;227;#bca3ce;#ffffff;Grand public;
0229;2019-09-02;;Oui;229;Bruz (Brossolette) <> Chavagne <> Mordelles (Mordelles Pâtis);Complémentaire;0229-A-2367-3869;0229-B-4201-2365;229;#fecc00;#1a171b;Grand public;
0230;2019-09-02;;Oui;230;Bruz (Aire du 8 Mai) <> Orgères <> Bourgbarré (Centre de Loisirs);Complémentaire;;0230-B-2366-3801;230;#009881;#ffffff;Grand public;
0239;2002-01-01;;Oui;239;Le Rheu (Lycée Monod) <> Mordelles (Mordelles Pâtis);Complémentaire;0239-A-2502-3869;0239-B-3869-2502;239;#f39200;#ffffff;Grand public;
0241;2015-09-01;;Oui;241;Mordelles (Collège St-Yves) <> Chavagne (Croix Blanche);Complémentaire;0241-A-3881-4212-3880;0241-B-4201-3881-4210;241;#71bf44;#1a171b;Grand public;
0420;2022-09-01;;Oui;Ts20;Nouvoitou (Le Gobigné) <> Vern-sur-Seiche (La Poste);Transport scolaire;0420-A-3423-2603;0420-B-2619-3425;9999;#e30613;#ffffff;Grand public;
0422;2023-09-04;;Oui;Ts22;Chantepie (La Planche) <> Rennes (Galicie);Transport scolaire;0422-A-3042-1344;0422-B-1356-3042;9999;#fecc00;#1a171b;Grand public;
0433;2019-09-02;;Oui;Ts33;Le Rheu (Moigné) <> Mordelles (Collège St-Yves);Transport scolaire;0433-A-2526-3881;0433-B-3881-2529;9999;#ba67a6;#ffffff;Grand public;
0434;2021-09-02;;Oui;Ts34;L'Hermitage (Rue de Montfort) <> Mordelles (Collège St-Yves);Transport scolaire;0434-A-4324-3881;0434-B-3881-4325;9999;#fecc00;#1a171b;Grand public;
0451;2002-01-01;;Oui;Ts51;Bourgbarré (Les Cruaux) <> Saint-Erblon <> Orgères (Collège Récipon);Transport scolaire;0451-A-3826-4381;0451-B-4381-3823;9999;#009fe3;#ffffff;Grand public;
0452;2017-09-04;;Oui;Ts52;Noyal-Châtillon-sur-Seiche (Abords Launay) <> Saint-Erblon (Collège Saint-Paul);Transport scolaire;0452-A-2771-4381;0452-B-4381-2772;9999;#fecc00;#1a171b;Grand public;
0454;2024-09-02;;Oui;Ts54;Saint-Erblon (Douazel) <> Orgères (Collège Récipon);Transport scolaire;0454-A-4364-3246;0454-B-3246-4367;9999;#f39200;#ffffff;Grand public;
0455;2020-09-01;;Oui;Ts55;Laillé (Laillé Collège) <> Laillé (Boulais Pochetière);Transport scolaire;0455-A-4764-4718;0455-B-4717-4770;9999;#36742f;#ffffff;Grand public;
0466;2019-09-02;;Oui;Ts66;Saint-Gilles (Pierre Blanche) <>La Chapelle-Thouarault <> L'Hermitage <> Le Rheu (Collège Brassens);Transport scolaire;0466-A-3736-2534;0466-B-2534-3736-2519;9999;#009fe3;#ffffff;Grand public;
0482;2022-09-01;;Oui;Ts82;Noyal-Châtillon-sur-Seiche (Ise) <> Chartres-de-Bretagne (Collège Pôle Sud);Transport scolaire;0482-A-2774-2942;0482-B-2942-2773;9999;#96bf0d;#ffffff;Grand public;
0703;2018-09-02;2025-08-31;Oui;Ill-3b;BreizhGo - Boistrudan <> Rennes (Gare Routière);BreizhGo;;;;#000000;#ffffff;Grand public;
0707;2002-01-01;2025-08-31;Oui;Bzh7;Bécherel (Bécherel Centre) <> Rennes (Gares);BreizhGo;0707-A-4801-1575;0707-B-1575-4801;;#000000;#ffffff;Grand public;
0711;2018-09-02;2025-08-31;Oui;Ill-11;BreizhGo - Dingé <> Rennes (Gare Routière);BreizhGo;;;;#000000;#ffffff;Grand public;
0804;2017-04-18;;Oui;TTZ;Rennes <> Noyal-Châtillon-sur-Seiche (Touche Tizon);Spéciale;0804-A-1252-2704;;101;#009c99;#ffffff;Grand public;
