Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0234;2022-09-01;;Oui;234;Saint-Grégoire (Jean-Paul II) <> Pacé (Pont Amelin);Complémentaire;0234-A-2841-3141;0234-B-3136-2841;234;#fecc00;#1a171b;Grand public;
0242;2015-09-01;;Oui;242;Miniac-sous-Bécherel (Miniac Eglise) <> Bécherel <> La Chapelle-Chaussée <> Romillé (Romillé Collège);Complémentaire;0242-A-4950-6000;0242-B-6000-4950;242;#f7941d;#1a171b;Grand public;
0243;2015-09-01;;Oui;243;Saint-Grégoire (Jean-Paul II) <> Montgermont <> Pacé (Pie Neuve);Complémentaire;0243-A-2841-3122;0243-B-3102-2841;243;#f7941d;#1a171b;Grand public;
0405;2002-01-01;;Oui;Ts5;Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Bourgbarré (Houssais);Transport scolaire;0405-A-2367-3810;0405-B-3811-2366;9999;#ba67a6;#ffffff;Grand public;
0406;2020-09-01;;Oui;Ts6;Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Laillé (Bossardière);Transport scolaire;0406-A-2366-4715;0406-B-4716-2366;9999;#f39200;#ffffff;Grand public;
0410;2022-09-01;;Oui;Ts10;Bruz (Anita Conti) <> Laillé (Châtaigneraie);Transport scolaire;0410-A-2367-4742;0410-B-4739-2367;9999;#e99d3a;#1a171b;Grand public;
0432;2020-09-21;;Oui;Ts32;La Chapelle-Thouarault (Cherterie) <> L'Hermitage <> Mordelles (Collège St-Yves);Transport scolaire;0432-A-4262-3881;0432-B-3880-4259;9999;#e30613;#ffffff;Grand public;
0435;2021-10-08;;Oui;Ts35;Mordelles (Morvan Lebesque) <> Le Verger (Breil);Transport scolaire;0435-A-3880-4406;0435-B-4405-3880;9999;#009fe3;#ffffff;Grand public;
0453;2023-09-04;;Oui;Ts53;Saint-Erblon (Collège Saint-Paul) <> Orgères <> Bourgbarré <> Laillé (Bossardière);Transport scolaire;0453-A-4381-4715;;9999;#e30613;#ffffff;Grand public;
0467;2019-09-02;;Oui;Ts67;Saint-Gilles (Haute Fresnais) <> L'Hermitage <> Le Rheu (Collège Brassens);Transport scolaire;0467-A-3728-2534;0467-B-2534-3728;9999;#71bf44;#1a171b;Grand public;
0470;2002-01-01;;Oui;RPI-1;La Chapelle-Chaussée (Chapelle-Chaussée) <> Bécherel <> La Chapelle-Chaussée (Chapelle-Chaussée);Transport scolaire;0470-A-4851-4851;0470-B-4805-4805;;#6f2b91;#ffffff;Grand public;
0002;2024-09-02;;Oui;C2;Cesson-Sévigné (Cesson - Viasilva) <> Rennes (Haut Sancé);CHRONOSTAR;0002-A-2131-1071;0002-B-1071-2131;2;#008bd2;#ffffff;Grand public;
0006;2019-04-22;;Oui;C6;Cesson-Sévigné (Rigourdière) <> Saint-Jacques-de-la-Lande (Aéroport);CHRONOSTAR;0006-A-2089-2277;0006-B-2277-2089;6;#61c3d9;#1a171b;Grand public;
0038;2022-10-24;;Oui;38;Cesson-Sévigné (Monniais) <> Cesson-Sévigné (Ménouriais);Inter-quartiers;0038-A-2063-2107;0038-B-2107-2059;38;#008bd2;#ffffff;Grand public;
0054;2022-10-24;;Oui;54;Rennes (Charles de Gaulle) <> Le Rheu <> Cintré (Clos de la Vallée);Métropolitaine;0054-A-1567-4671;0054-B-4671-1567;54;#ba65a5;#ffffff;Grand public;
0061;2002-01-01;;Oui;61;Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Parc d'Activités);Métropolitaine;0061-A-1510-4351;0061-B-4351-1510;61;#e4003a;#ffffff;Grand public;
0062;2016-08-29;;Oui;62;Rennes (La Poterie) <> Vern-sur-Seiche (Croix Malinge);Métropolitaine;0062-A-1533-2601;0062-B-2601-1533;62;#004f9e;#ffffff;Grand public;
0068;2002-01-01;;Oui;68;Gévezé (Cheval Blanc) <> Rennes (Villejean-Université);Métropolitaine;0068-A-4507-1529;0068-B-1529-4507;68;#004f9e;#ffffff;Grand public;
