Geo Point;Geo Shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;pieton;velo;moto;wms_time
48.07157996886172, -1.604120041834065;"{""coordinates"": [-1.604120041834065, 48.07157996886172], ""type"": ""Point""}";accident.3348;3348;1840;Gendarmerie Nationale 0010930 00303;2015-02-18T01:00:00+01:00;07:45;Mercredi;35352;hors intersection;;0011+0000;;;;;;VL;Scooter <= 50 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2015-01-01T01:00:00+01:00
48.115249999998404, -1.6768800000016106;"{""coordinates"": [-1.676880000001611, 48.115249999998404], ""type"": ""Point""}";accident.3464;3464;462004;SP/35238/44;2022-02-07T01:00:00+01:00;09:20;Lundi;35238;Autre;HOCHE (PLACE);N/C;Place Hoche;;;;;Scooter  > 50 <= 125 cm3;;;;;;Conducteur;;;;;;;;0;0;1;Non;Non;Oui;2022-01-01T01:00:00+01:00
48.077828000003656, -1.6324979999937306;"{""coordinates"": [-1.632497999993731, 48.077828000003656], ""type"": ""Point""}";accident.3762;3762;63450970;SP/35238/132;2019-04-10T02:00:00+02:00;12:20;Mercredi;35055;Giratoire;HALLERAIS (ROND-POINT);47+780;HALLERAIS (ROND-POINT);;0+0;HALLERAIS (ROND-POINT);;Scooter  > 50 <= 125 cm3;;;;;;Conducteur;;;;;;;;0;0;1;Non;Non;Oui;2019-01-01T01:00:00+01:00
48.127090302221916, -1.6866213083304706;"{""coordinates"": [-1.686621308330471, 48.127090302221916], ""type"": ""Point""}";accident.3805;3805;66540488;SP/35238/317;2020-10-10T02:00:00+02:00;04:35;Samedi;35238;En X;TILLON (AVENUE CHARLES);0+0;TILLON (AVENUE CHARLES);;0+0;TILLON (AVENUE CHARLES);;Scooter <= 50 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2020-01-01T01:00:00+01:00
48.082159988202584, -1.7136900102135741;"{""coordinates"": [-1.713690010213574, 48.082159988202584], ""type"": ""Point""}";accident.3859;3859;1754;Sécurité publique 0035238 00528;2012-10-29T01:00:00+01:00;01:15;Lundi;35281;hors intersection;02, CLAUDEL (COURS CAMIL;;CLAUDEL (COURS CAMILLE);0;;;0;quad léger <=50 cm3;;;;;;Conducteur;Passager;;;;;;;0;0;2;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.14732999999981, -1.696559999997989;"{""coordinates"": [-1.696559999997989, 48.14732999999981], ""type"": ""Point""}";accident.3984;3984;66509670;SP/35238/340;2020-10-22T02:00:00+02:00;07:55;Jeudi;35278;Autre;BOUTIERE (BOULEVARD DE LA);0+0;BOUTIERE (BOULEVARD DE LA);;;;;Cyclomoteur <=50 cm3;;;;;;Conducteur;;;;;;;;0;0;1;Non;Non;Oui;2020-01-01T01:00:00+01:00
48.10441999999621, -1.6773800000022774;"{""coordinates"": [-1.677380000002277, 48.10441999999621], ""type"": ""Point""}";accident.4194;4194;63447745;SP/35238/389;2019-10-05T02:00:00+02:00;23:30;Samedi;35238;Giratoire;ALMA (DE L');0+0;ALMA (DE L');;0+0;ALMA (DE L');;Cyclomoteur <=50 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2019-01-01T01:00:00+01:00
48.11282500000132, -1.6396499999972927;"{""coordinates"": [-1.639649999997293, 48.11282500000132], ""type"": ""Point""}";accident.4460;4460;66539794;SP/35238/30;2020-01-25T01:00:00+01:00;08:40;Samedi;35238;En T;AVENUE DES PREALES;0+0;AVENUE DES PREALES;;0+0;AVENUE DES PREALES;;Véhicule de tourisme (VT);Scooter > 125 cm3;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;Non;Non;Oui;2020-01-01T01:00:00+01:00
48.117853314942906, -1.685524900713131;"{""coordinates"": [-1.685524900713131, 48.117853314942906], ""type"": ""Point""}";accident.4630;4630;3406;Sécurité publique 0035238 00053;2018-01-17T01:00:00+01:00;19:30;Mercredi;35238;En X;50, LEGRAVEREND;;;0;;;0;VL;cyclomoteur;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;Non;Non;Oui;2018-01-01T01:00:00+01:00
48.124301214491915, -1.693684126367279;"{""coordinates"": [-1.693684126367279, 48.124301214491915], ""type"": ""Point""}";accident.5137;5137;1883;Sécurité publique 0035238 00232;2016-06-10T02:00:00+02:00;08:40;Vendredi;35238;Giratoire;J.L.BERTRAND/PECKER;;Rue Jean-Louis Bertrand;0;;Rue du Professeur Jean Pecker;0;motocyclette > 125 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2016-01-01T01:00:00+01:00
