Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:36:30+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:35:36+0200;2025-06-19T18:35:54+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:44:01+0200;2025-06-19T18:44:19+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:42:08+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:49:39+0200;2025-06-19T18:49:57+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:46:50+0200;2025-06-19T18:47:08+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:47:46+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:52:28+0200;2025-06-19T18:52:46+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:55:17+0200;2025-06-19T18:55:35+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:50:35+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:58:06+0200;2025-06-19T18:58:24+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:15:00+0200;2025-06-19T19:15:18+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T19:56:13+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:00:55+0200;2025-06-19T19:01:13+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:23:27+0200;2025-06-19T19:23:45+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:04:40+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:03:44+0200;2025-06-19T19:04:02+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:31:54+0200;2025-06-19T19:32:12+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:10:12+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:09:22+0200;2025-06-19T19:09:40+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:37:32+0200;2025-06-19T19:37:50+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:13:01+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:17:49+0200;2025-06-19T19:18:07+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:54:26+0200;2025-06-19T19:54:44+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:36:45+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:20:38+0200;2025-06-19T19:20:56+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:57:15+0200;2025-06-19T19:57:33+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:41:15+02:00;Applicable;
