annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Juillet;2024-07-16;Mardi;29;32;32;Inter-quartiers;Régulières Urbaines;495.29412
2024;Octobre;2024-10-11;Vendredi;41;9999;9999;Non identifié;Non identifiée;6383.52941
2024;Août;2024-08-24;Samedi;34;13;13;Urbaine;Régulières Urbaines;2172.94118
2024;Juillet;2024-07-16;Mardi;29;37;37;Inter-quartiers;Régulières Urbaines;207.05882
2024;Octobre;2024-10-12;Samedi;41;1;C1;CHRONOSTAR;CHRONOSTAR;10823.52941
2024;Août;2024-08-24;Samedi;34;55;55;Métropolitaine;Régulières Métropolitaines;856.47059
2024;Juillet;2024-07-16;Mardi;29;52;52;Métropolitaine;Régulières Métropolitaines;1803.52941
2024;Octobre;2024-10-12;Samedi;41;2;C2;CHRONOSTAR;CHRONOSTAR;7105.88235
2024;Août;2024-08-24;Samedi;34;62;62;Métropolitaine;Régulières Métropolitaines;595.29412
2024;Juillet;2024-07-16;Mardi;29;55;55;Métropolitaine;Régulières Métropolitaines;2410.58824
2024;Octobre;2024-10-12;Samedi;41;5;C5;CHRONOSTAR;CHRONOSTAR;7232.94118
2024;Août;2024-08-24;Samedi;34;64;64;Métropolitaine;Régulières Métropolitaines;277.64706
2024;Juillet;2024-07-16;Mardi;29;59;59;Métropolitaine;Régulières Métropolitaines;1712.94118
2024;Octobre;2024-10-12;Samedi;41;77;77;Métropolitaine;Régulières Métropolitaines;1617.64706
2024;Août;2024-08-24;Samedi;34;68;68;Métropolitaine;Régulières Métropolitaines;363.52941
2024;Juillet;2024-07-16;Mardi;29;65;65;Métropolitaine;Régulières Métropolitaines;468.23529
2024;Octobre;2024-10-12;Samedi;41;82;82;Métropolitaine;Régulières Métropolitaines;149.41176
2024;Août;2024-08-24;Samedi;34;74;74;Métropolitaine;Régulières Métropolitaines;354.11765
2024;Juillet;2024-07-16;Mardi;29;70;70;Métropolitaine;Régulières Métropolitaines;41.17647
2024;Octobre;2024-10-12;Samedi;41;91;91;Intercommunale;Régulières Métropolitaines;38.82353
2024;Août;2024-08-24;Samedi;34;75;75;Métropolitaine;Régulières Métropolitaines;177.64706
2024;Juillet;2024-07-16;Mardi;29;77;77;Métropolitaine;Régulières Métropolitaines;1378.82353
2024;Octobre;2024-10-12;Samedi;41;121;N1;STAR de Nuit;Régulières Urbaines;272.94118
2024;Août;2024-08-24;Samedi;34;803;API;Spéciale;Lignes Evènementielles;48.23529
2024;Juillet;2024-07-16;Mardi;29;83;83;Métropolitaine;Régulières Métropolitaines;474.11765
2024;Octobre;2024-10-12;Samedi;41;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;4484.21053
2024;Août;2024-08-24;Samedi;34;1002;b;Métro;METRO;31971.77159
2024;Juillet;2024-07-16;Mardi;29;90;90;Intercommunale;Régulières Métropolitaines;57.64706
2024;Octobre;2024-10-13;Dimanche;41;5;C5;CHRONOSTAR;CHRONOSTAR;1981.17647
2024;Août;2024-08-25;Dimanche;34;1;C1;CHRONOSTAR;CHRONOSTAR;2132.94118
2024;Juillet;2024-07-16;Mardi;29;803;API;Spéciale;Lignes Evènementielles;38.82353
2024;Octobre;2024-10-13;Dimanche;41;6;C6;CHRONOSTAR;CHRONOSTAR;2490.58824
2024;Août;2024-08-25;Dimanche;34;2;C2;CHRONOSTAR;CHRONOSTAR;2154.11765
2024;Juillet;2024-07-16;Mardi;29;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2654.30341
2024;Octobre;2024-10-13;Dimanche;41;12;12;Urbaine;Régulières Urbaines;563.52941
2024;Août;2024-08-25;Dimanche;34;5;C5;CHRONOSTAR;CHRONOSTAR;1490.58824
2024;Juillet;2024-07-17;Mercredi;29;1;C1;CHRONOSTAR;CHRONOSTAR;8627.05882
2024;Octobre;2024-10-13;Dimanche;41;54;54;Métropolitaine;Régulières Métropolitaines;294.11765
2024;Août;2024-08-25;Dimanche;34;7;C7;CHRONOSTAR;CHRONOSTAR;792.94118
2024;Juillet;2024-07-17;Mercredi;29;3;C3;CHRONOSTAR;CHRONOSTAR;7252.94118
2024;Octobre;2024-10-13;Dimanche;41;55;55;Métropolitaine;Régulières Métropolitaines;117.64706
2024;Août;2024-08-25;Dimanche;34;14;14;Urbaine;Régulières Urbaines;285.88235
2024;Juillet;2024-07-17;Mercredi;29;10;10;Urbaine;Régulières Urbaines;1475.29412
2024;Octobre;2024-10-13;Dimanche;41;62;62;Métropolitaine;Régulières Métropolitaines;469.41176
2024;Août;2024-08-25;Dimanche;34;52;52;Métropolitaine;Régulières Métropolitaines;187.05882
2024;Juillet;2024-07-17;Mercredi;29;50;50;Métropolitaine;Régulières Métropolitaines;656.47059
2024;Octobre;2024-10-13;Dimanche;41;82;82;Métropolitaine;Régulières Métropolitaines;85.88235
2024;Août;2024-08-25;Dimanche;34;72;72;Métropolitaine;Régulières Métropolitaines;263.52941
2024;Juillet;2024-07-17;Mercredi;29;52;52;Métropolitaine;Régulières Métropolitaines;1789.41176
2024;Octobre;2024-10-14;Lundi;42;1;C1;CHRONOSTAR;CHRONOSTAR;17411.76471
