Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée (théorique);Départ (théorique);Arrivée;Départ;Course (ID);Bus (ID);Bus (numéro);Précision;Visibilité;heureExtraction
0001;C1;0;Chantepie;3029;Touche Annette;48.085669, -1.607413;2025-06-19T18:37:00+02:00;2025-06-19T18:37:00+02:00;2025-06-19T18:54:30+02:00;2025-06-19T18:54:30+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1242;République;48.109765, -1.679475;2025-06-19T18:09:00+02:00;2025-06-19T18:09:00+02:00;2025-06-19T18:27:39+02:00;2025-06-19T18:27:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1049;Horizons;48.111644, -1.689347;2025-06-19T18:01:00+02:00;2025-06-19T18:01:00+02:00;2025-06-19T18:19:39+02:00;2025-06-19T18:19:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;2817;CHP Saint-Grégoire;48.142924, -1.686672;2025-06-19T17:50:00+02:00;2025-06-19T17:50:00+02:00;2025-06-19T17:51:15+02:00;2025-06-19T17:51:15+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1085;Laënnec;48.104704, -1.666749;2025-06-19T18:18:00+02:00;2025-06-19T18:18:00+02:00;2025-06-19T18:36:36+02:00;2025-06-19T18:36:36+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1050;Les Lices;48.111647, -1.686999;2025-06-19T18:03:00+02:00;2025-06-19T18:03:00+02:00;2025-06-19T18:21:40+02:00;2025-06-19T18:21:40+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1328;Lycée Mendès France;48.132964, -1.685248;2025-06-19T17:55:00+02:00;2025-06-19T17:55:00+02:00;2025-06-19T17:55:40+02:00;2025-06-19T17:55:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3013;Deux Ruisseaux;48.085807, -1.614693;2025-06-19T18:34:00+02:00;2025-06-19T18:34:00+02:00;2025-06-19T18:52:36+02:00;2025-06-19T18:52:36+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1091;Place de Bretagne;48.109741, -1.683838;2025-06-19T18:06:00+02:00;2025-06-19T18:06:00+02:00;2025-06-19T18:24:39+02:00;2025-06-19T18:24:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1044;Pierre Legrand;48.122159, -1.685931;2025-06-19T18:01:00+02:00;2025-06-19T18:01:00+02:00;2025-06-19T18:02:25+02:00;2025-06-19T18:02:25+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3001;Gériatrie;48.085029, -1.610354;2025-06-19T18:35:00+02:00;2025-06-19T18:35:00+02:00;2025-06-19T18:53:35+02:00;2025-06-19T18:53:35+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1088;Liberté;48.107381, -1.674952;2025-06-19T18:12:00+02:00;2025-06-19T18:12:00+02:00;2025-06-19T18:31:38+02:00;2025-06-19T18:31:38+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1048;Brest Verdun;48.113316, -1.693473;2025-06-19T18:07:00+02:00;2025-06-19T18:07:00+02:00;2025-06-19T18:08:13+02:00;2025-06-19T18:08:13+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1101;Trois Croix;48.127249, -1.683243;2025-06-19T17:58:00+02:00;2025-06-19T17:58:00+02:00;2025-06-19T17:58:48+02:00;2025-06-19T17:58:48+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1477;Gares;48.104056, -1.671736;2025-06-19T18:16:00+02:00;2025-06-19T18:16:00+02:00;2025-06-19T18:34:39+02:00;2025-06-19T18:34:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1050;Les Lices;48.111647, -1.686999;2025-06-19T18:12:00+02:00;2025-06-19T18:12:00+02:00;2025-06-19T18:12:41+02:00;2025-06-19T18:12:41+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1043;Saint-Martin;48.123605, -1.684264;2025-06-19T18:01:00+02:00;2025-06-19T18:01:00+02:00;2025-06-19T18:01:40+02:00;2025-06-19T18:01:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1319;Domaine;48.096995, -1.641624;2025-06-19T18:25:00+02:00;2025-06-19T18:25:00+02:00;2025-06-19T18:43:32+02:00;2025-06-19T18:43:32+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1242;République;48.109765, -1.679475;2025-06-19T18:18:00+02:00;2025-06-19T18:18:00+02:00;2025-06-19T18:18:40+02:00;2025-06-19T18:18:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1046;Anatole France;48.11822, -1.689411;2025-06-19T18:04:00+02:00;2025-06-19T18:04:00+02:00;2025-06-19T18:04:40+02:00;2025-06-19T18:04:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1321;Sauvaie;48.093804, -1.633845;2025-06-19T18:28:00+02:00;2025-06-19T18:28:00+02:00;2025-06-19T18:45:32+02:00;2025-06-19T18:45:32+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1085;Laënnec;48.104704, -1.666749;2025-06-19T18:27:00+02:00;2025-06-19T18:27:00+02:00;2025-06-19T18:27:43+02:00;2025-06-19T18:27:43+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1047;La Touche;48.116099, -1.691294;2025-06-19T18:05:00+02:00;2025-06-19T18:05:00+02:00;2025-06-19T18:06:13+02:00;2025-06-19T18:06:13+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3008;Loges;48.090337, -1.624139;2025-06-19T18:31:00+02:00;2025-06-19T18:31:00+02:00;2025-06-19T18:48:46+02:00;2025-06-19T18:48:46+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1317;Villebois-Mareuil;48.10009, -1.649358;2025-06-19T18:33:00+02:00;2025-06-19T18:33:00+02:00;2025-06-19T18:33:29+02:00;2025-06-19T18:33:29+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1049;Horizons;48.111644, -1.689347;2025-06-19T18:10:00+02:00;2025-06-19T18:10:00+02:00;2025-06-19T18:10:40+02:00;2025-06-19T18:10:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3009;Chantepie Mairie;48.088344, -1.619074;2025-06-19T18:33:00+02:00;2025-06-19T18:33:00+02:00;2025-06-19T18:50:39+02:00;2025-06-19T18:50:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;2809;Discalceat;48.154317, -1.686709;2025-06-19T20:01:00+02:00;2025-06-19T20:01:00+02:00;2025-06-19T20:01:52+02:00;2025-06-19T20:01:52+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1243;Croix Saint-Hélier;48.10247, -1.661;2025-06-19T18:30:00+02:00;2025-06-19T18:30:00+02:00;2025-06-19T18:30:29+02:00;2025-06-19T18:30:29+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3038;Chantepie Eglise;48.08751, -1.616791;2025-06-19T18:33:00+02:00;2025-06-19T18:33:00+02:00;2025-06-19T18:51:41+02:00;2025-06-19T18:51:41+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;2815;La Plesse;48.137081, -1.686391;2025-06-19T20:06:00+02:00;2025-06-19T20:06:00+02:00;2025-06-19T20:06:50+02:00;2025-06-19T20:06:50+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1316;Raison;48.101172, -1.652908;2025-06-19T18:32:00+02:00;2025-06-19T18:32:00+02:00;2025-06-19T18:32:39+02:00;2025-06-19T18:32:39+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3028;Rosa Parks;48.08553, -1.604044;2025-06-19T18:38:00+02:00;2025-06-19T18:38:00+02:00;2025-06-19T18:55:39+02:00;2025-06-19T18:55:39+02:00;268435523;;;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1328;Lycée Mendès France;48.132964, -1.685248;2025-06-19T20:08:00+02:00;2025-06-19T20:08:00+02:00;2025-06-19T20:08:00+02:00;2025-06-19T20:08:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1321;Sauvaie;48.093804, -1.633845;2025-06-19T18:37:00+02:00;2025-06-19T18:37:00+02:00;2025-06-19T18:37:39+02:00;2025-06-19T18:37:39+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;2815;La Plesse;48.137081, -1.686391;2025-06-19T17:53:00+02:00;2025-06-19T17:53:00+02:00;2025-06-19T17:53:50+02:00;2025-06-19T17:53:50+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1101;Trois Croix;48.127249, -1.683243;2025-06-19T20:10:00+02:00;2025-06-19T20:10:00+02:00;2025-06-19T20:10:05+02:00;2025-06-19T20:10:05+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3008;Loges;48.090337, -1.624139;2025-06-19T18:40:00+02:00;2025-06-19T18:40:00+02:00;2025-06-19T18:40:53+02:00;2025-06-19T18:40:53+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1040;Donelière;48.129874, -1.684309;2025-06-19T17:56:00+02:00;2025-06-19T17:56:00+02:00;2025-06-19T17:57:21+02:00;2025-06-19T17:57:21+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1042;Cimetière Nord;48.123939, -1.681724;2025-06-19T20:11:00+02:00;2025-06-19T20:11:00+02:00;2025-06-19T20:11:13+02:00;2025-06-19T20:11:13+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3009;Chantepie Mairie;48.088344, -1.619074;2025-06-19T18:42:00+02:00;2025-06-19T18:42:00+02:00;2025-06-19T18:42:29+02:00;2025-06-19T18:42:29+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1042;Cimetière Nord;48.123939, -1.681724;2025-06-19T17:59:00+02:00;2025-06-19T17:59:00+02:00;2025-06-19T18:00:23+02:00;2025-06-19T18:00:23+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1044;Pierre Legrand;48.122159, -1.685931;2025-06-19T20:12:00+02:00;2025-06-19T20:12:00+02:00;2025-06-19T20:12:52+02:00;2025-06-19T20:12:52+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3013;Deux Ruisseaux;48.085807, -1.614693;2025-06-19T18:43:00+02:00;2025-06-19T18:43:00+02:00;2025-06-19T18:44:15+02:00;2025-06-19T18:44:15+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1091;Place de Bretagne;48.109741, -1.683838;2025-06-19T18:15:00+02:00;2025-06-19T18:15:00+02:00;2025-06-19T18:15:51+02:00;2025-06-19T18:15:51+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1047;La Touche;48.116099, -1.691294;2025-06-19T20:16:00+02:00;2025-06-19T20:16:00+02:00;2025-06-19T20:16:02+02:00;2025-06-19T20:16:02+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3001;Gériatrie;48.085029, -1.610354;2025-06-19T18:44:00+02:00;2025-06-19T18:44:00+02:00;2025-06-19T18:45:25+02:00;2025-06-19T18:45:25+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1088;Liberté;48.107381, -1.674952;2025-06-19T18:21:00+02:00;2025-06-19T18:21:00+02:00;2025-06-19T18:22:22+02:00;2025-06-19T18:22:22+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1316;Raison;48.101172, -1.652908;2025-06-19T20:35:00+02:00;2025-06-19T20:35:00+02:00;2025-06-19T20:35:04+02:00;2025-06-19T20:35:04+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2844;Champ Daguet;48.155334, -1.67138;2025-06-19T19:56:00+02:00;2025-06-19T19:56:00+02:00;2025-06-19T19:49:00+02:00;2025-06-19T19:56:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1477;Gares;48.104056, -1.671736;2025-06-19T18:25:00+02:00;2025-06-19T18:25:00+02:00;2025-06-19T18:25:40+02:00;2025-06-19T18:25:40+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3008;Loges;48.090337, -1.624139;2025-06-19T20:42:00+02:00;2025-06-19T20:42:00+02:00;2025-06-19T20:42:35+02:00;2025-06-19T20:42:35+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2842;Nobel;48.158113, -1.672074;2025-06-19T19:56:00+02:00;2025-06-19T19:56:00+02:00;2025-06-19T19:56:54+02:00;2025-06-19T19:56:54+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1318;Landry;48.099112, -1.646019;2025-06-19T18:33:00+02:00;2025-06-19T18:33:00+02:00;2025-06-19T18:34:19+02:00;2025-06-19T18:34:19+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3013;Deux Ruisseaux;48.085807, -1.614693;2025-06-19T20:45:00+02:00;2025-06-19T20:45:00+02:00;2025-06-19T20:45:40+02:00;2025-06-19T20:45:40+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2812;Forge;48.150855, -1.685817;2025-06-19T20:03:00+02:00;2025-06-19T20:03:00+02:00;2025-06-19T20:03:00+02:00;2025-06-19T20:03:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1319;Domaine;48.096995, -1.641624;2025-06-19T18:34:00+02:00;2025-06-19T18:34:00+02:00;2025-06-19T18:35:28+02:00;2025-06-19T18:35:28+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3001;Gériatrie;48.085029, -1.610354;2025-06-19T20:46:00+02:00;2025-06-19T20:46:00+02:00;2025-06-19T20:46:56+02:00;2025-06-19T20:46:56+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2813;Haut Trait;48.147409, -1.686201;2025-06-19T20:03:00+02:00;2025-06-19T20:03:00+02:00;2025-06-19T20:03:57+02:00;2025-06-19T20:03:57+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1320;CARSAT;48.094925, -1.637268;2025-06-19T18:36:00+02:00;2025-06-19T18:36:00+02:00;2025-06-19T18:36:29+02:00;2025-06-19T18:36:29+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;3028;Rosa Parks;48.08553, -1.604044;2025-06-19T20:49:00+02:00;2025-06-19T20:49:00+02:00;2025-06-19T20:49:00+02:00;2025-06-19T20:49:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;1040;Donelière;48.129874, -1.684309;2025-06-19T20:09:00+02:00;2025-06-19T20:09:00+02:00;2025-06-19T20:09:07+02:00;2025-06-19T20:09:07+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3038;Chantepie Eglise;48.08751, -1.616791;2025-06-19T18:42:00+02:00;2025-06-19T18:42:00+02:00;2025-06-19T18:43:20+02:00;2025-06-19T18:43:20+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1243;Croix Saint-Hélier;48.10247, -1.661;2025-06-19T18:02:00+02:00;2025-06-19T18:02:00+02:00;2025-06-19T18:00:32+02:00;2025-06-19T18:00:32+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1043;Saint-Martin;48.123605, -1.684264;2025-06-19T20:12:00+02:00;2025-06-19T20:12:00+02:00;2025-06-19T20:12:00+02:00;2025-06-19T20:12:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3029;Touche Annette;48.085669, -1.607413;2025-06-19T18:46:00+02:00;2025-06-19T18:46:00+02:00;2025-06-19T18:46:37+02:00;2025-06-19T18:46:37+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1319;Domaine;48.096995, -1.641624;2025-06-19T18:06:00+02:00;2025-06-19T18:06:00+02:00;2025-06-19T18:05:49+02:00;2025-06-19T18:05:49+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1048;Brest Verdun;48.113316, -1.693473;2025-06-19T20:17:00+02:00;2025-06-19T20:17:00+02:00;2025-06-19T20:17:22+02:00;2025-06-19T20:17:22+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3028;Rosa Parks;48.08553, -1.604044;2025-06-19T18:47:00+02:00;2025-06-19T18:47:00+02:00;2025-06-19T18:47:29+02:00;2025-06-19T18:47:29+02:00;268435549;-1922195184;-1922195184;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1321;Sauvaie;48.093804, -1.633845;2025-06-19T18:09:00+02:00;2025-06-19T18:09:00+02:00;2025-06-19T18:08:33+02:00;2025-06-19T18:08:33+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1050;Les Lices;48.111647, -1.686999;2025-06-19T20:20:00+02:00;2025-06-19T20:20:00+02:00;2025-06-19T20:20:16+02:00;2025-06-19T20:20:16+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2804;Ricoquais;48.159105, -1.676666;2025-06-19T19:58:00+02:00;2025-06-19T19:58:00+02:00;2025-06-19T19:58:10+02:00;2025-06-19T19:58:10+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3008;Loges;48.090337, -1.624139;2025-06-19T18:14:00+02:00;2025-06-19T18:14:00+02:00;2025-06-19T18:13:49+02:00;2025-06-19T18:13:49+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1091;Place de Bretagne;48.109741, -1.683838;2025-06-19T20:22:00+02:00;2025-06-19T20:22:00+02:00;2025-06-19T20:22:14+02:00;2025-06-19T20:22:14+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2805;Camus;48.159116, -1.681369;2025-06-19T19:59:00+02:00;2025-06-19T19:59:00+02:00;2025-06-19T19:59:08+02:00;2025-06-19T19:59:08+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3001;Gériatrie;48.085029, -1.610354;2025-06-19T18:19:00+02:00;2025-06-19T18:19:00+02:00;2025-06-19T18:18:52+02:00;2025-06-19T18:18:52+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1242;République;48.109765, -1.679475;2025-06-19T20:24:00+02:00;2025-06-19T20:24:00+02:00;2025-06-19T20:24:00+02:00;2025-06-19T20:24:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2806;Vivier Louis;48.159012, -1.685601;2025-06-19T20:00:00+02:00;2025-06-19T20:00:00+02:00;2025-06-19T20:00:00+02:00;2025-06-19T20:00:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;3029;Touche Annette;48.085669, -1.607413;2025-06-19T18:21:00+02:00;2025-06-19T18:21:00+02:00;2025-06-19T18:20:30+02:00;2025-06-19T18:20:30+02:00;268435556;-462244704;-462244704;Temps réel;Grand public;17:50:14
0001;C1;0;Chantepie;1477;Gares;48.104056, -1.671736;2025-06-19T20:29:00+02:00;2025-06-19T20:29:00+02:00;2025-06-19T20:29:00+02:00;2025-06-19T20:29:00+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2808;Uttenreuth;48.15682, -1.687365;2025-06-19T20:01:00+02:00;2025-06-19T20:01:00+02:00;2025-06-19T20:01:05+02:00;2025-06-19T20:01:05+02:00;268435551;;;Applicable;Grand public;17:50:14
0001;C1;0;Chantepie;2842;Nobel;48.158113, -1.672074;2025-06-19T18:30:00+02:00;2025-06-19T18:30:00+02:00;2025-06-19T18:30:54+02:00;2025-06-19T18:30:54+02:00;268435562;;;Temps réel;Grand public;17:50:14
