Equipement (ID);Nom;Station (ID);Station (nom);Coordonnées;Etat;Dernière mise à jour;Identifiant de la Ligne de métro (linéo);type;typecourt
TRI_DAT56502;Distributeur 2;15013;Triangle;48.0864371868635, -1.66035956927485;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
SJG_DAT00501;Salle des billets (Gauche);15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T08:09:05+02:00;1002;Distributeur de titres;DAT
LGA_DAT05503;Salle des billets niveau -1;15054;Les Gayeulles;48.1293946374996, -1.65730026310517;En fonctionnement;2025-06-19T07:04:44+02:00;1002;Distributeur de titres;DAT
VU_DAT51001;Distributeur 1;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
STA_DAT04101;Distributeur 1;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
PON_DAT51502;Distributeur 2;15003;Pontchaillou;48.1215567733982, -1.69339989615415;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
VU_DAT51002;Distributeur 2;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
STA_DAT04102;Distributeur 2;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
REP_DAT53004;Distributeur 4;15006;République;48.1097592170185, -1.67918191615921;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
TRI_DAT56501;Distributeur 1;15013;Triangle;48.0864371868635, -1.66035956927485;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
SJG_DAT00502;Salle des billets (Milieu);15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T14:47:32+02:00;1002;Distributeur de titres;DAT
STA_DAT04103;Distributeur 3;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
STAB_DAT04001;Salle des billets (Gauche);15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T02:05:29+02:00;1002;Distributeur de titres;DAT
STAB_DAT04003;Salle des billets (Droite);15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T02:05:29+02:00;1002;Distributeur de titres;DAT
VU_DAT51003;Distributeur 3;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
VU_DAT51004;Distributeur 4;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
