Ligne (ID);Nom court;Etat;En panne depuis;Fin de panne prévue;Dernière mise à jour;Routeid gtfs/gtfs-rt
1001;a;OK;;;2025-06-19T17:40:10+02:00;
1002;b;OK;;;2025-06-19T17:40:10+02:00;
